,,全大学,,,,国立大学,,,,公立大学,,,,私立大学,,,
大学,分野,2002,2008,2013,2018,2002,2008,2013,2018,2002,2008,2013,2018,2002,2008,2013,2018
全大学,人文・社会,0.464,0.342,0.354,0.328,0.511,0.412,0.445,0.394,0.498,0.373,0.383,0.336,0.451,0.321,0.33,0.311
,理学,0.569,0.497,0.517,0.493,0.579,0.519,0.54,0.522,0.543,0.448,0.449,0.405,0.527,0.402,0.442,0.413
,工学,0.482,0.385,0.4,0.389,0.499,0.41,0.432,0.422,0.529,0.373,0.412,0.369,0.438,0.35,0.345,0.339
,農学,0.503,0.405,0.407,0.4,0.522,0.428,0.431,0.43,0.496,0.423,0.438,0.419,0.45,0.337,0.336,0.32
,保健,0.46,0.397,0.32,0.302,0.502,0.43,0.409,0.377,0.43,0.377,0.332,0.272,0.432,0.381,0.264,0.264
,その他,0.392,0.288,0.291,0.264,0.46,0.314,0.347,0.336,0.414,0.369,0.373,0.274,0.338,0.265,0.256,0.222
,計,0.465,0.372,0.353,0.333,0.508,0.417,0.428,0.406,0.472,0.38,0.37,0.314,0.427,0.338,0.299,0.285
第1G,人文・社会,0.552,0.554,0.476,0.435,0.552,0.554,0.476,0.435,-,-,-,-,-,-,-,-
,理学,0.611,0.56,0.561,0.559,0.611,0.56,0.561,0.559,-,-,-,-,-,-,-,-
,工学,0.571,0.484,0.541,0.51,0.571,0.484,0.541,0.51,-,-,-,-,-,-,-,-
,農学,0.591,0.478,0.482,0.516,0.591,0.478,0.482,0.516,-,-,-,-,-,-,-,-
,保健,0.57,0.515,0.523,0.524,0.57,0.515,0.523,0.524,-,-,-,-,-,-,-,-
,その他,0.5,0.277,0.44,0.5,0.5,0.277,0.44,0.5,-,-,-,-,-,-,-,-
,計,0.575,0.502,0.522,0.512,0.575,0.502,0.522,0.512,-,-,-,-,-,-,-,-
第2G,人文・社会,0.487,0.368,0.417,0.386,0.478,0.366,0.426,0.379,-,-,-,-,0.508,0.371,0.407,0.394
,理学,0.58,0.512,0.533,0.518,0.58,0.512,0.533,0.518,-,-,-,-,-,-,-,-
,工学,0.489,0.439,0.441,0.457,0.504,0.463,0.48,0.49,-,-,-,-,0.43,0.381,0.342,0.377
,農学,0.526,0.439,0.447,0.409,0.526,0.465,0.47,0.442,-,-,-,-,0.54,0.311,0.344,0.258
,保健,0.482,0.417,0.371,0.338,0.498,0.445,0.428,0.377,-,-,-,-,0.426,0.344,0.22,0.237
,その他,0.445,0.313,0.34,0.335,0.45,0.315,0.32,0.321,-,-,-,-,0.412,0.305,0.371,0.367
,計,0.502,0.42,0.415,0.396,0.512,0.442,0.452,0.422,-,-,-,-,0.45,0.359,0.326,0.331
第3G,人文・社会,0.521,0.375,0.397,0.323,0.541,0.365,0.434,0.35,0.571,0.425,0.436,0.289,0.405,0.369,0.289,0.291
,理学,0.518,0.427,0.466,0.411,0.456,0.392,0.467,0.424,0.552,0.441,0.403,0.398,0.584,0.496,0.552,0.396
,工学,0.537,0.404,0.445,0.417,0.546,0.428,0.462,0.42,0.536,0.45,0.491,0.471,0.505,0.337,0.394,0.394
,農学,0.502,0.358,0.391,0.387,0.496,0.371,0.378,0.387,0.488,0.379,0.45,0.4,0.522,0.306,0.417,0.374
,保健,0.476,0.404,0.314,0.314,0.476,0.376,0.385,0.365,0.495,0.245,0.394,0.271,0.468,0.465,0.207,0.255
,その他,0.467,0.333,0.355,0.315,0.494,0.317,0.35,0.344,0.545,0.54,0.852,-,0.279,0.294,0.283,0.118
,計,0.502,0.394,0.363,0.345,0.504,0.381,0.405,0.379,0.534,0.362,0.43,0.337,0.482,0.425,0.267,0.284
第4G,人文・社会,0.495,0.362,0.372,0.379,0.493,0.353,0.399,0.381,0.513,0.427,0.392,0.371,0.491,0.354,0.366,0.379
,理学,0.514,0.412,0.442,0.431,0.517,0.425,0.426,0.425,0.533,0.457,0.559,0.437,0.501,0.39,0.437,0.436
,工学,0.496,0.383,0.399,0.384,0.517,0.404,0.416,0.415,0.556,0.39,0.463,0.415,0.459,0.364,0.374,0.356
,農学,0.476,0.394,0.369,0.375,0.496,0.411,0.405,0.406,0.55,0.421,0.419,0.418,0.424,0.362,0.315,0.327
,保健,0.46,0.396,0.301,0.285,0.503,0.436,0.318,0.259,0.481,0.435,0.33,0.307,0.441,0.38,0.293,0.288
,その他,0.449,0.327,0.333,0.3,0.472,0.337,0.361,0.293,0.366,-,-,0.264,0.376,0.292,0.271,0.328
,計,0.478,0.383,0.342,0.331,0.501,0.398,0.375,0.343,0.506,0.427,0.38,0.342,0.456,0.37,0.325,0.325
その他G,人文・社会,0.446,0.308,0.322,0.285,0.51,0.358,0.509,0.413,0.473,0.317,0.363,0.332,0.442,0.305,0.311,0.275
,理学,0.673,0.562,0.604,0.546,0.72,0.615,0.67,0.608,-,-,0.435,0.25,0.447,0.312,0.334,0.321
,工学,0.396,0.299,0.268,0.264,0.375,0.269,0.243,0.246,0.48,0.303,0.304,0.274,0.405,0.325,0.287,0.28
,農学,0.42,0.376,0.383,0.361,-,-,-,-,0.448,0.464,0.476,0.459,0.386,0.303,0.303,0.297
,保健,0.361,0.314,0.25,0.22,0.273,0.391,0.143,0.256,0.315,0.338,0.297,0.218,0.386,0.304,0.239,0.22
,その他,0.357,0.271,0.261,0.225,0.421,0.298,0.306,0.307,0.406,0.333,0.339,0.278,0.336,0.262,0.248,0.208
,計,0.41,0.304,0.293,0.261,0.428,0.335,0.35,0.337,0.411,0.331,0.329,0.274,0.407,0.295,0.28,0.246
