Time period,Time period,1981 ,1982 ,1983 ,1984 ,1985 ,1986 ,1987 ,1988 ,1989 ,1990 ,1991 ,1992 ,1993 ,1994 ,1995 ,1996 ,1997 ,1998 ,1999 ,2000 ,2001 ,2002 ,2003 ,2004 ,2005 ,2006 ,2007 ,2008 ,2009 ,2010 ,2011 ,2012 ,2013 ,2014 ,2015 ,2016 ,2017 ,2018 ,2019 ,2020 ,2021 ,2022 ,2023 
Combined unit of measure: Full time equivalent unit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Australia,,24208 ,,,S2   28776,29866 ,35029 ,36730 ,40012 ,,43176 ,,52157 ,,56873 ,,61041 ,,62865 ,,66001 ,,73173 ,,81192 ,,87201 ,,92649 ,,,,,,,,,,,,,,,
Austria,,D   6712,,,,D   7609,,,,D   8782,,,,D   12821,,,,,D   18715,,,,D   24124,,D   25955,DE   28470,D   29199,D   31676,DE   34508,D   34664,DE   36581,D   37114,DE   39701,D   40426,DE   42627,D   43562,DE   46993,D   47521,DE   50139,D   52794,DE   51892,D   56533,E   59646,DP   63702
Belgium,,DE   12747,D   13410,DE   13431,D   13906,DE   14759,D   15705,D   16045,D   16646,BD   17620,,DE   18105,,BD   20979,D   22563,D   23309,D   25130,D   26263,D   27592,D   29732,D   30540,D   32237,D   30668,D   30917,D   32400,D   33146,D   34879,D   36318,D   36774,D   38225,D   40832,D   42686,D   45597,D   46355,D   50820,BD   53178,DE   54280,D   54010,D   57456,D   60619,D   62448,BD   76233,E   80383,P   83274
Canada,,40420 ,44200 ,45690 ,48820 ,52520 ,57320 ,59350 ,62360 ,63860 ,65730 ,67730 ,72070 ,75490 ,85900 ,87380 ,90490 ,93180 ,95214 ,98648 ,107900 ,114510 ,115960 ,123230 ,130380 ,136700 ,140660 ,151330 ,157200 ,150220 ,158660 ,165100 ,161600 ,163180 ,B   161922,162710 ,159000 ,161990 ,174690 ,182140 ,196010 ,211080 ,217000 ,
Chile,,,,,,,,,,,,,,,,,,,,,,,,,,,,D   5551,D   5959,DM2   4859,DM2   5440,D   6078,D   6798,D   5893,D   7585,D   8175,D   8985,D   9099,DE   9804,DE   9671,DE   9962,BD   12400,D   14493,
Costa Rica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3160 ,2905 ,3089 ,2241 ,2070 ,,1867 ,2053 ,,
Czechia,,,,,,,,,,,,,,,,11936 ,12963 ,12580 ,12566 ,13535 ,13852 ,14987 ,14974 ,15809 ,16300 ,B   24169,26267 ,27878 ,29785 ,28759 ,29228 ,30682 ,33217 ,34271 ,36040 ,38081 ,37338 ,39181 ,41198 ,42500 ,44206 ,48080 ,49402 ,P   48775
Denmark,,D   6785,D   7255,D   7676,D   8123,D   8567,D   9170,D   9775,D   10369,D   10962,D   11505,D   12049,D   12861,D   13672,,D   15954,DE   16699,D   17511,,D   18945,,D   19453,B   25547,24882 ,26167 ,28179 ,28846 ,B   30174,E   35702,36789 ,37435 ,39181 ,40080 ,39868 ,41409 ,42826 ,44815 ,43966 ,43924 ,P   44671,P   44553,P   45017,53081 ,DP   53860
Estonia,,,,,,,,,,,,,,,,,,,2978 ,3002 ,2666 ,2631 ,3059 ,3017 ,3369 ,3331 ,3513 ,3690 ,3979 ,4314 ,4077 ,4511 ,4582 ,4407 ,4324 ,4187 ,4338 ,4674 ,4968 ,4995 ,5098 ,5370 ,6205 ,6533 
