年度,学校コード,学部(研究科)番号,所在地,学校名,学校種別,学部・研究科名,課程別,昼夜別,学科・専攻名,符号,性別,A大学院研究科,B大学学部,C短期大学本科,D専攻科,E別科,F自営業主等,G無期雇用労働者,H有期雇用労働者,I臨時労働者,臨床研修医(予定者を含む),専修学校・外国の学校等入学者,J(進学準備中),J(就職準備中),J(その他),不詳・死亡の者,7状況別計(a),左記A~Eのうち自営業者等無期(再掲),雇用契約期間1年以上フルタイム相当(再掲),左記Hのうち雇用契約期間が1年以上フルタイム勤務相当(再掲),8博士(再掲)満期退学,8博士(再掲)ポスドクH,8博士(再掲)ポスドクI,8博士(再掲)ポスドクJ,①年度入学,②年度入学,③年度入学,④年度入学,⑤年度入学,その他(編入),年度別計(a),入学年度①,入学年度②,入学年度③,入学年度④,入学年度⑤,進学者,就職者,臨床研修医,その他,合計（確認用）
2024,F101110100010,1A01,1,北海道大学,1,文学部,,1,人文科学,B902,男,19,,,,,,61,10,,,1,1,5,1,,98,,,9,,,,,80,15,2,1,,,98,2,1,30,29,28,20,71,0,7,98
2024,F101110100010,1A01,1,北海道大学,1,文学部,,1,人文科学,B902,女,19,,,,,,63,5,,,,,2,0,,89,,,5,,,,,79,8,,1,1,,89,2,1,30,29,28,19,68,0,2,89
2024,F101110100010,1A58,1,北海道大学,2,文学院,1,1,人文学,B936,男,16,,,,,1,19,1,,,1,1,1,0,,40,1,,1,,,,,33,4,1,2,,,40,4,3,2,1,30,17,21,0,2,40
2024,F101110100010,1A58,1,北海道大学,2,文学院,1,1,人文学,B936,女,11,,,,,1,14,5,,,,,4,3,,38,,,3,,,,,29,9,0,0,,,38,4,3,2,1,30,11,20,0,7,38
2024,F101110100010,1A58,1,北海道大学,2,文学院,1,1,人間科学,B9C5,男,3,,,,,,4,1,,,,,,1,,9,,,1,,,,,9,,,,,,9,4,3,2,1,30,3,5,0,1,9
2024,F101110100010,1A58,1,北海道大学,2,文学院,1,1,人間科学,B9C5,女,2,,,,,,3,2,,,,1,1,2,,11,,,2,,,,,11,,,,,,11,4,3,2,1,30,2,5,0,4,11
2024,F101110100010,1C05,1,北海道大学,1,法学部,,1,法学,C101,男,20,,,,,2,92,,,,1,4,11,9,,139,,,,,,,,104,12,5,1,,17,139,2,1,30,29,28,21,94,0,24,139
2024,F101110100010,1C05,1,北海道大学,1,法学部,,1,法学,C101,女,13,,,,,,46,,,,2,2,3,3,,69,,,,,,,,55,6,1,,,7,69,2,1,30,29,28,15,46,0,8,69
2024,F101110100010,1C09,1,北海道大学,1,経済学部,,1,経済学科,C203,男,11,,,,,,64,1,,,1,,4,4,,85,,,1,,,,,70,8,5,2,,,85,2,1,30,29,28,12,65,0,8,85
2024,F101110100010,1C09,1,北海道大学,1,経済学部,,1,経済学科,C203,女,2,,,,,,10,,,,,1,,,,13,,,,,,,,11,2,,,,,13,2,1,30,29,28,2,10,0,1,13
