年度,学校コード,学部(研究科)番号,所在地,連番,学校名,学校種別,学部・研究科名,課程別,昼夜別,学科・専攻名,符号,性別,b-1研究者,b-2農林水産技術者,b-3製造技術者（開発）機械,b-3製造技術者（開発）電気,b-3製造技術者（開発）科学,b-3製造技術者（開発）その他,b-4製造技術者（開発を除く）機械,b-4製造技術者（開発を除く）電気,b-4製造技術者（開発を除く）科学,b-4製造技術者（開発を除く）その他,b-5建築・土木・測量技術者,b-6情報処理・通信技術者,b-7その他の技術者,b-8教員_幼稚園,b-8教員_小学校,b-8教員_中学校,b-8教員_高等学校,b-8教員_中等教育学校,b-8教員_高等専門学校,b-8教員_短期大学,b-8教員_大学,b-8教員_特別支援学校,b-8教員_その他,b-9医師，歯科医師,b-9獣医師,b-9薬剤師,b-10保健師，助産師，看護師,b-11医療技術者,b-12その他の保健医療従事者(栄養士),b-12その他の保健医療従事者(その他),b-13美術・写真・デザイナー・音楽・舞台,b-14その他,a管理的職業従事者,c事務従事者,d販売従事者,eサービス職業従事者,f保安職業従事者,g-1農林業従事者,g-2漁業従事者,h生産工程従事者,i輸送・機械運転従事者,j建設・採掘従事者,k運搬・清掃・包装等従事者,左記以外（職）,職業別計,A農業・林業,B漁業,C鉱業・採石業・砂利採取業,D建設業,E-1食料品・飲料・たばこ・飼料製造業,E-2繊維工業,E-3印刷・同関連業,E-4化学工業・石油製品・石炭製品製造業,E-5鉄鋼業・非鉄金属・金属製品製造業,E-6はん用・生産用・業務用機械器具製造業,E-7電子部品・デバイス・電子回路製造業,E-8電気・情報通信機械器具製造業,E-9輸送用機械器具製造業,E-10その他の製造業,F電気・ガス・熱供給・水道業,G情報通信業,H運輸業・郵便業,I-1卸売業,I-2小売業,J-1金融業,J-2保険業,K-1不動産取引・賃貸・管理業,K-2物品賃貸業,L-1学術・開発研究機関,L-2法務,L-3その他の専門技術サービス業,M宿泊業，飲食サービス業,N生活関連サービス業，娯楽業,O-1学校教育,O-2その他の教育、学習支援業,P-1保険業、保険衛生,P-2社会保険・社会福祉・介護事業,Q複合サービス事業,R-1宗教,R-2その他のサービス業,S-1国家公務,S-2地方公務,左記以外（産）,産業別計
2024,F101110100010,1A01,01,1,北海道大学,1,文学部,,1,人文科学,B902,男,,,,,,,,,,,,9,,,,,1,,,,,,,,,,,,,,1,6,2,41,2,6,,,,,,,,2,70,,,,3,,,,,2,2,,,2,,2,13,2,1,6,7,1,,,,,3,1,2,2,1,,1,,,2,6,9,2,70
2024,F101110100010,1A01,01,1,北海道大学,1,文学部,,1,人文科学,B902,女,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,1,8,,42,,6,,1,,,,,,2,68,2,,,1,,,,,1,,,,,3,3,13,1,1,2,1,,,,,,7,,5,4,4,,2,1,,,6,10,1,68
2024,F101110100010,1A58,01,1,北海道大学,2,文学院,1,1,人文学,B936,男,,,,,,,,,,,,3,,,,,3,,,,,,,,,,,,,,,2,,10,1,3,,,,,,,,,22,2,,,,,,1,1,,,1,1,,,,3,,,,,,1,,,,2,1,1,3,,,,1,,,1,3,,22
2024,F101110100010,1A58,01,1,北海道大学,2,文学院,1,1,人文学,B936,女,,,,,,,,,,,,4,,,,,1,,,,,,,,,,,,,,1,2,,9,,1,,,,,,,,,18,,,,,2,,,,,,,,,,,6,,1,1,,,,,,,1,,2,1,,,,1,,,1,2,,18
2024,F101110100010,1A58,01,1,北海道大学,2,文学院,1,1,人間科学,B9C5,男,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,2,,2,,,,,,,,,,,5,,,,,,,,,,,,,,,,2,,,,,,,,,,2,,,,,,,,,,,1,,5
2024,F101110100010,1A58,01,1,北海道大学,2,文学院,1,1,人間科学,B9C5,女,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,2,,1,,,,,,,,,5,,,,,,,,,,,,,,,,1,,,,,,,,,,1,,1,,,,,1,,,,1,,5
2024,F101110100010,1C05,01,1,北海道大学,1,法学部,,1,法学,C101,男,,,,,,,,,,,,5,,,,,,,,,,,2,,,,,,,,,,,80,1,1,3,,,,,,,2,94,,,,3,2,,,1,4,3,1,1,1,1,4,13,3,1,4,7,6,4,,,1,1,,,,2,,,2,,2,13,11,3,94
2024,F101110100010,1C05,01,1,北海道大学,1,法学部,,1,法学,C101,女,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,38,,,2,,,,,,,1,46,,,,,1,,,1,,,1,2,,2,1,8,,1,1,7,1,,,,,,,,,,,,,,4,10,6,,46
2024,F101110100010,1C09,01,1,北海道大学,1,経済学部,,1,経済学科,C203,男,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,1,4,,47,4,3,,,,,,,,1,65,,,1,2,1,,1,1,2,2,3,1,,,3,8,2,2,2,8,3,1,,,,6,,1,,,1,1,1,,1,6,4,1,65
2024,F101110100010,1C09,01,1,北海道大学,1,経済学部,,1,経済学科,C203,女,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,1,,,,,,,,,,10,,,,1,,,,,,,,1,,1,,2,,1,,1,,,,,,,,,,,,,,,,3,,,10
2024,F101110100010,1C09,01,1,北海道大学,1,経済学部,,1,経営学科,C205,男,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,5,,39,1,2,,,,,,,,,52,,,,1,1,,,1,1,1,,4,2,1,2,7,3,,1,9,7,1,,,,2,,1,,1,,,,,1,2,3,,52
