大学院,,,,,,,,,,,,,,,,
79   修士課程の状況別卒業者数  （ 8 － 1 ）,,,,,,,,,,,,,,,,
1   計  （1）  計,,,,,,,,,,,,,,,,
区分,区分,区分,計,進学者,就職者等,就職者等,就職者等,就職者等,臨床研修医（予定者を含む）,専修学校・外国の学校等入学者,左記以外の者,不詳・死亡の者,（再掲）,（再掲）,（再掲）,就職者（再掲）（a，b，c，d）
区分,区分,区分,計,進学者,自営業主等（a）,常用労働者,常用労働者,臨時労働者,臨床研修医（予定者を含む）,専修学校・外国の学校等入学者,左記以外の者,不詳・死亡の者,左記「進学者」のうち就職している者（c）,左記「進学者」のうち就職している者（c）,左記有期雇用労働者のうち，雇用契約期間が一年以上，かつフルタイム勤務相当の者（d）,就職者（再掲）（a，b，c，d）
区分,区分,区分,計,進学者,自営業主等（a）,無期雇用労働者（b）,有期雇用労働者（雇用契約期間が一か月以上の者）,臨時労働者,臨床研修医（予定者を含む）,専修学校・外国の学校等入学者,左記以外の者,不詳・死亡の者,自営業主等，無期雇用労働者,雇用契約期間が一年以上，かつフルタイム勤務相当の者,左記有期雇用労働者のうち，雇用契約期間が一年以上，かつフルタイム勤務相当の者（d）,就職者（再掲）（a，b，c，d）
令和4年3月,計,計,71898,7120,694,51878,2679,181,－,305,8738,303,189,59,1867,54687
令和5年3月,計,計,74258,7210,764,54636,2630,162,－,294,8442,120,197,30,1856,57483
令和5年3月,人文科学,計,3814,670,32,1634,465,48,－,33,913,19,12,3,289,1970
令和5年3月,人文科学,文学,632,119,4,265,67,7,－,4,165,1,3,－,48,320
令和5年3月,人文科学,史学,261,48,1,128,29,2,－,1,52,－,－,－,13,142
令和5年3月,人文科学,哲学,853,86,7,362,211,23,－,8,148,8,－,1,122,492
令和5年3月,人文科学,その他,2068,417,20,879,158,16,－,20,548,10,9,2,106,1016
令和5年3月,社会科学,計,6872,531,145,3953,286,10,－,25,1917,5,27,1,228,4354
令和5年3月,社会科学,法学・政治学,997,110,18,533,22,－,－,7,305,2,2,－,18,571
令和5年3月,社会科学,商学・経済学,3775,244,88,2227,141,5,－,10,1058,2,19,－,118,2452
令和5年3月,社会科学,社会学,630,60,11,334,38,3,－,4,180,－,1,1,28,375
令和5年3月,社会科学,その他,1470,117,28,859,85,2,－,4,374,1,5,－,64,956
令和5年3月,理学,計,6217,1053,10,4620,143,6,－,9,374,2,12,－,120,4762
令和5年3月,理学,数学,1067,173,1,779,40,1,－,3,68,2,1,－,33,814
令和5年3月,理学,物理学,1158,274,2,798,16,－,－,－,68,－,1,－,15,816
令和5年3月,理学,化学,791,105,1,608,11,－,－,－,66,－,2,－,11,622
令和5年3月,理学,生物,575,123,－,417,8,1,－,3,23,－,－,－,5,422
令和5年3月,理学,地学,341,73,－,237,4,－,－,－,27,－,－,－,4,241
令和5年3月,理学,原子力理学,－,－,－,－,－,－,－,－,－,－,－,－,－,－
令和5年3月,理学,その他,2285,305,6,1781,64,4,－,3,122,－,8,－,52,1847
令和5年3月,工学,計,32099,2019,87,27890,376,13,－,64,1624,26,14,6,326,28323
令和5年3月,工学,機械工学,3866,151,7,3535,33,－,－,4,133,3,1,－,31,3574
令和5年3月,工学,電気通信工学,7039,407,19,6133,98,3,－,10,362,7,3,2,87,6244
令和5年3月,工学,土木・建築工学,3102,135,11,2626,43,－,－,6,272,9,－,－,35,2672
令和5年3月,工学,応用化学,2577,232,2,2254,25,2,－,1,61,－,－,1,23,2280
令和5年3月,工学,応用理学,166,33,－,126,－,－,－,1,6,－,－,－,－,126
令和5年3月,工学,原子力工学,117,16,－,99,1,－,－,－,1,－,－,－,1,100
令和5年3月,工学,鉱山学,－,－,－,－,－,－,－,－,－,－,－,－,－,－
令和5年3月,工学,金属工学,38,6,－,32,－,－,－,－,－,－,－,－,－,32
令和5年3月,工学,繊維工学,177,3,－,167,－,－,－,－,7,－,－,－,－,167
令和5年3月,工学,船舶工学,26,1,－,24,－,－,－,－,1,－,－,－,－,24
令和5年3月,工学,航空工学,308,31,－,253,3,－,－,3,18,－,－,－,3,256
令和5年3月,工学,経営工学,290,13,5,220,6,－,－,1,40,5,－,－,5,230
