86　博士課程の職業別就職者数  （ 2 － 1 ）,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
1　計,,,,,,,,,,,,,,,,（％）,
区分,区分,区分,区分,区分,計,人文科学,社会科学,理学,工学,農学,保健,家政,教育,芸術,その他,比率,
令和4年3月,計,計,計,計,10977,348,460,805,2339,500,4948,36,266,64,1211,…,
令和5年3月,計,計,計,計,11120,382,469,873,2352,491,4904,36,282,46,1285,100.0,
令和5年3月,専門的・技術的職業従事者,計,計,計,10162,283,323,796,2148,431,4780,33,261,38,1069,91.4,
令和5年3月,管理的職業従事者,計,計,計,150,7,29,3,35,9,26,－,2,1,38,1.3,
令和5年3月,事務従事者,計,計,計,273,37,70,14,38,11,37,1,3,5,57,2.5,
令和5年3月,販売従事者,計,計,計,41,5,5,－,11,2,7,－,－,－,11,0.4,
令和5年3月,サービス職業従事者,計,計,計,47,5,5,7,7,5,8,－,4,－,6,0.4,
令和5年3月,保安職業従事者,計,計,計,7,－,－,－,6,－,1,－,－,－,－,0.1,
令和5年3月,農林漁業従事者,計,計,計,7,－,－,1,－,4,1,－,1,－,－,0.1,
令和5年3月,生産工程従事者,計,計,計,11,－,－,1,－,4,2,1,－,－,3,0.1,
令和5年3月,輸送・機械運転従事者,計,計,計,1,－,－,1,－,－,－,－,－,－,－,0.0,
令和5年3月,建設・採掘従事者,計,計,計,3,－,－,－,1,1,－,－,－,－,1,0.0,
令和5年3月,運搬・清掃等従事者,計,計,計,－,－,－,－,－,－,－,－,－,－,－,－,
令和5年3月,上記以外のもの,計,計,計,418,45,37,50,106,24,42,1,11,2,100,3.8,
令和5年3月,内訳,専門的・技術的職業従事者,計,計,10162,283,323,796,2148,431,4780,33,261,38,1069,100.0,
令和5年3月,内訳,専門的・技術的職業従事者,研究者,計,2582,51,58,422,879,215,471,8,26,3,449,25.4,
令和5年3月,内訳,専門的・技術的職業従事者,農林水産技術者,計,28,－,－,3,2,18,－,－,－,－,5,0.3,
令和5年3月,内訳,専門的・技術的職業従事者,製造技術者（開発）,計,778,1,1,108,429,21,98,3,2,－,115,7.7,
令和5年3月,内訳,専門的・技術的職業従事者,製造技術者（開発）,機械技術者,158,－,－,10,127,6,2,－,－,－,13,1.6,
令和5年3月,内訳,専門的・技術的職業従事者,製造技術者（開発）,電気技術者,154,－,－,18,107,1,1,－,－,－,27,1.5,
令和5年3月,内訳,専門的・技術的職業従事者,製造技術者（開発）,化学技術者,270,－,－,53,100,5,62,3,1,－,46,2.7,
令和5年3月,内訳,専門的・技術的職業従事者,製造技術者（開発）,その他の技術者,196,1,1,27,95,9,33,－,1,－,29,1.9,
令和5年3月,内訳,専門的・技術的職業従事者,製造技術者（開発除く）,計,108,－,1,18,53,5,20,1,－,－,10,1.1,
令和5年3月,内訳,専門的・技術的職業従事者,製造技術者（開発除く）,機械技術者,22,－,－,1,20,－,－,－,－,－,1,0.2,
令和5年3月,内訳,専門的・技術的職業従事者,製造技術者（開発除く）,電気技術者,21,－,－,4,15,－,1,－,－,－,1,0.2,
令和5年3月,内訳,専門的・技術的職業従事者,製造技術者（開発除く）,化学技術者,28,－,1,7,7,1,10,1,－,－,1,0.3,
令和5年3月,内訳,専門的・技術的職業従事者,製造技術者（開発除く）,その他の技術者,37,－,－,6,11,4,9,－,－,－,7,0.4,
令和5年3月,内訳,専門的・技術的職業従事者,建築・土木・測量技術者,計,125,1,－,3,99,4,－,－,－,1,17,1.2,
令和5年3月,内訳,専門的・技術的職業従事者,情報処理・通信技術者,計,323,5,7,86,151,2,18,1,1,－,52,3.2,
令和5年3月,内訳,専門的・技術的職業従事者,その他の技術者,計,158,3,1,18,70,12,26,－,2,－,26,1.6,
令和5年3月,内訳,専門的・技術的職業従事者,教員,計,2568,174,197,107,411,98,1024,15,204,13,325,25.3,
令和5年3月,内訳,専門的・技術的職業従事者,教員,幼稚園教員,2,－,－,－,1,－,－,－,1,－,－,0.0,
令和5年3月,内訳,専門的・技術的職業従事者,教員,小学校教員,21,1,－,1,－,1,－,－,17,－,1,0.2,
令和5年3月,内訳,専門的・技術的職業従事者,教員,中学校教員,12,1,1,1,－,－,2,－,6,－,1,0.1,
令和5年3月,内訳,専門的・技術的職業従事者,教員,高等学校教員,40,9,1,10,3,1,1,－,9,－,6,0.4,
令和5年3月,内訳,専門的・技術的職業従事者,教員,中等教育学校教員,7,1,－,2,－,－,1,－,3,－,－,0.1,
令和5年3月,内訳,専門的・技術的職業従事者,教員,高等専門学校教員,37,1,－,5,21,－,3,1,2,－,4,0.4,
令和5年3月,内訳,専門的・技術的職業従事者,教員,短期大学教員,38,1,9,－,6,3,7,－,7,1,4,0.4,
令和5年3月,内訳,専門的・技術的職業従事者,教員,大学教員,2341,150,184,85,366,86,988,14,152,10,306,23.0,
令和5年3月,内訳,専門的・技術的職業従事者,教員,特別支援学校教員,10,－,－,2,3,2,3,－,－,－,－,0.1,
令和5年3月,内訳,専門的・技術的職業従事者,教員,上記以外の学校の教員,60,10,2,1,11,5,19,－,7,2,3,0.6,
令和5年3月,内訳,専門的・技術的職業従事者,医師，歯科医師，獣医師，薬剤師,計,2812,－,－,－,1,35,2771,－,－,－,5,27.7,
令和5年3月,内訳,専門的・技術的職業従事者,医師，歯科医師，獣医師，薬剤師,医師，歯科医師,2623,－,－,－,－,－,2618,－,－,－,5,25.8,
令和5年3月,内訳,専門的・技術的職業従事者,医師，歯科医師，獣医師，薬剤師,獣医師,49,－,－,－,1,35,13,－,－,－,－,0.5,
令和5年3月,内訳,専門的・技術的職業従事者,医師，歯科医師，獣医師，薬剤師,薬剤師,140,－,－,－,－,－,140,－,－,－,－,1.4,
令和5年3月,内訳,専門的・技術的職業従事者,保健師，助産師，看護師,計,69,－,－,－,1,－,65,－,－,－,3,0.7,
令和5年3月,内訳,専門的・技術的職業従事者,医療技術者,計,209,1,1,－,4,1,189,－,3,－,10,2.1,
令和5年3月,内訳,専門的・技術的職業従事者,その他の保健医療従事者,計,74,2,3,－,1,3,50,4,8,－,3,0.7,
令和5年3月,内訳,専門的・技術的職業従事者,その他の保健医療従事者,栄養士,12,－,－,－,－,2,5,4,1,－,－,0.1,
令和5年3月,内訳,専門的・技術的職業従事者,その他の保健医療従事者,その他の保健医療従事者,62,2,3,－,1,1,45,－,7,－,3,0.6,
令和5年3月,内訳,専門的・技術的職業従事者,美術家，写真家，デザイナー，音楽家，舞台芸術家,計,25,－,1,－,1,－,1,－,1,20,1,0.2,
令和5年3月,内訳,専門的・技術的職業従事者,その他の専門的・技術的職業従事者,計,303,45,53,31,46,17,47,1,14,1,48,3.0,
令和5年3月,内訳,農林漁業従事者,計,計,7,－,－,1,－,4,1,－,1,－,－,100.0,
令和5年3月,内訳,農林漁業従事者,農林業従事者,計,6,－,－,1,－,3,1,－,1,－,－,85.7,
令和5年3月,内訳,農林漁業従事者,漁業従事者,計,1,－,－,－,－,1,－,－,－,－,－,14.3,
1． この表の就職者数には，進学しかつ就職した者を含む。,,,,,,,,,,,,,,,,,
2． 専攻分野の分類は「付属資料 － 学科系統分類表」による。,,,,,,,,,,,,,,,,,
